Registro|Orden_Servicio|Cliente|Identificador_Metro|Tipo Servicio Metro|Tipo Plan Metro|Velocidad Metro|Central+Circuito|Central|Nombre_Central|Tipo_Componente|Status_Instalacion|Nombre_Nodo|Tipo_Nodo|Tipo_Tarjeta|Nombre_Tarjeta|Slot|Puerto
200423107|U04ICP23107|DIGECAFA|||||2244-0128229|2244|COCHE                ( 2244 )|PTO_RDCDE|ACTIVO|350 COCHE 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|5|3|
200423139|U04ICP23139|BANCO PROVINCIAL S.A. BU|||||2316-0128190|2316|LA TRINIDAD          ( 2316 )|PTO_RDCDE|ACTIVO|350-LA TRINIDAD|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|4|10|
200425128|U04CAT25128|OPTICA 18 CA|||||2220-0120137|2220|MACARACUAY           ( 2220 )|PTO_RDCDE|ACTIVO|350-MACARACUAY|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|5|41|
200425262|U04IXM25262|CONATEL|||||2319-0106797|2319|LAS MERCEDES         ( 2319 )|PTO_RDCDE|ACTIVO|MERCEDES-DATOS-III|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.1|11|
200427349|U04ICP27349|TELECOMUNICACIONES MOVILNET|||||8823-0010236|8823|JORGE COLL           ( 8823 )|PTO_RDCDE|ACTIVO|350 JORGE COLL 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|13|
200428440|U04CAF28440|SERVINAVE C A|||||2322-0091798|2322|LOS CAOBOS           ( 2322 )|PTO_RDCDE|ACTIVO|350-CAOBOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|4|33|
200428443|U04ICP28443|TELECOMUNICACIONES MOVILNET|||||2319-0128809|2319|LAS MERCEDES         ( 2319 )|PTO_RDCDE|ACTIVO|350 MERCEDES 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|23|
200429560|U04ICP29560|CATIVEN S A|||||4441-0002765|4441|CAGUA                ( 4441 )|PTO_RDCDE|ACTIVO|350 CAGUA 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|15|
200431376|U04ICP31376|MIN SALUD Y DESARROLLO SOCIA|||||2228-0130299|2228|MADERERO             ( 2228 )|PTO_RDCDE|ACTIVO|MADERERO-DATOS|NTU_2902|TARJETA DE DATOS|G.SHDSL|1.1.4|12|
200501039|U05ICP01039|MIN SALUD Y DESARROLLO SOCIA|||||4681-0000566|4681|PUEBLO NUEVO-S.J.M   ( 4681 )|PTO_RDCDE|ACTIVO|350 SAN JUAN 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1|1|
200501188|U05ICP01188|C A N T V|||||2304-0129392|2304|CARACAS              ( 2304 )|PTO_RDCDE|ACTIVO|350 CARACAS 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|8|
200501756|U05CAF01756|CERVECERIA POLAR C. A.|||||3307-0109270|3307|GUARENAS-TRAPICHITO-ELECTRO ( 3307 )|PTO_RDCDE|ACTIVO|GUARENAS-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.1|1|
200502088|U05CAF02088|PEPSI COLA VENEZUELA C.A.|||||3307-0000231|3307|GUARENAS-TRAPICHITO-ELECTRO ( 3307 )|PTO_RDCDE|ACTIVO|GUARENAS-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.2|24|
200504298|U05ICP04298|C A N T V|||||2221-0129783|2221|CHACAO               ( 2221 )|PTO_RDCDE|ACTIVO|350CHACAO-1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|7|16|
